dateChecked,timeChecked,dateCheckedHour,dateCheckedMinute,dateCheckedDayOfWeek,dateCheckedDayOfMonth,checkMinSmall,appointmentDaysFound,earliestAppointmentDate,earliestAppointmentDelta,correcEarliestDelta,dateToday,dateByTomorrow,dateWithin3days,dateWithin7days,dateWithin14days,dateWithin30days,anyday,Time of day,Has appointments/100,Has appointments,Has appointments (14 days)
2021-09-26 00:00:00,0:10:00,0,10,6,26,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-27 00:00:00,0:10:00,0,10,0,27,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-28 00:00:00,0:10:00,0,10,1,28,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-29 00:00:00,0:10:00,0,10,2,29,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-30 00:00:00,0:10:00,0,10,3,30,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-01 00:00:00,0:10:00,0,10,4,1,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-02 00:00:00,0:10:00,0,10,5,2,,1,2021-11-26 00:00:00,55,55,0,0,0,0,0,0,1,00:00,1,100,0
2021-10-03 00:00:00,0:10:00,0,10,6,3,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-04 00:00:00,0:10:00,0,10,0,4,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-05 00:00:00,0:10:00,0,10,1,5,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-06 00:00:00,0:10:00,0,10,2,6,,2,2021-11-30 00:00:00,55,55,0,0,0,0,0,0,1,00:00,1,100,0
2021-10-07 00:00:00,0:10:00,0,10,3,7,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-08 00:00:00,0:10:00,0,10,4,8,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-09 00:00:00,0:10:00,0,10,5,9,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-10 00:00:00,0:10:00,0,10,6,10,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-10-11 00:00:00,0:10:00,0,10,0,11,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-12 00:00:00,0:12:00,0,12,6,12,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-13 00:00:00,0:12:00,0,12,0,13,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-14 00:00:00,0:12:00,0,12,1,14,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-15 00:00:00,0:12:00,0,12,2,15,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-16 00:00:00,0:12:00,0,12,3,16,,1,2021-11-12 00:00:00,57,57,0,0,0,0,0,0,1,00:00,1,100,0
2021-09-17 00:00:00,0:12:00,0,12,4,17,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
2021-09-18 00:00:00,0:12:00,0,12,5,18,,0,,,,0,0,0,0,0,0,0,00:00,0,0,0
